rank,title,release_year,duration,rate_type,star_rating,rated_by
35,Psycho,1960,1h 49m,R,8.5, (763K)
36,The Lion King,1994,1h 28m,G,8.5, (1.2M)
37,Grave of the Fireflies,1988,1h 28m,Not Rated,8.5, (362K)
38,The Departed,2006,2h 31m,R,8.5, (1.5M)
39,Whiplash,2014,1h 46m,R,8.5, (1.1M)
40,Harakiri,1962,2h 13m,Not Rated,8.6, (83K)
41,The Prestige,2006,2h 10m,PG-13,8.5, (1.5M)
42,American History X,1998,1h 59m,R,8.5, (1.2M)
43,Léon: The Professional,1994,1h 50m,R,8.5, (1.3M)
44,Spider-Man: Across the Spider-Verse,2023,2h 20m,PG,8.5, (481K)
45,Casablanca,1942,1h 42m,PG,8.5, (640K)
46,Cinema Paradiso,1988,2h 54m,PG,8.5, (307K)
47,The Intouchables,2011,1h 52m,R,8.5, (995K)
48,The Usual Suspects,1995,1h 46m,R,8.5, (1.2M)
49,Alien,1979,1h 57m,R,8.5, (1M)
50,Modern Times,1936,1h 27m,G,8.5, (277K)
51,Rear Window,1954,1h 52m,PG,8.5, (555K)
52,Django Unchained,2012,2h 45m,R,8.5, (1.8M)
53,Once Upon a Time in the West,1968,2h 46m,PG-13,8.5, (374K)
54,City Lights,1931,1h 27m,G,8.5, (210K)
55,Apocalypse Now,1979,2h 27m,R,8.4, (752K)
56,WALL·E,2008,1h 38m,G,8.4, (1.3M)
57,Memento,2000,1h 53m,R,8.4, (1.4M)
58,Dune: Part Two,2024,2h 46m,PG-13,8.5, (667K)
59,Raiders of the Lost Ark,1981,1h 55m,PG,8.4, (1.1M)
60,Avengers: Infinity War,2018,2h 29m,PG-13,8.4, (1.3M)
61,The Lives of Others,2006,2h 17m,R,8.4, (433K)
62,Sunset Boulevard,1950,1h 50m,Approved,8.4, (253K)
63,Spider-Man: Into the Spider-Verse,2018,1h 57m,PG,8.4, (752K)
64,Witness for the Prosecution,1957,1h 56m,Approved,8.4, (154K)
65,Paths of Glory,1957,1h 28m,Approved,8.4, (230K)
66,The Shining,1980,2h 26m,R,8.4, (1.2M)
67,The Great Dictator,1940,2h 5m,G,8.4, (252K)
68,Inglourious Basterds,2009,2h 33m,R,8.4, (1.7M)
69,12th Fail,2023,2h 27m,,8.7, (156K)
70,Aliens,1986,2h 17m,R,8.4, (820K)
71,The Dark Knight Rises,2012,2h 44m,PG-13,8.4, (1.9M)
72,Coco,2017,1h 45m,PG,8.4, (669K)
73,Amadeus,1984,2h 40m,PG,8.4, (455K)
74,Avengers: Endgame,2019,3h 1m,PG-13,8.4, (1.4M)
75,High and Low,1963,2h 23m,Not Rated,8.4, (64K)
76,Good Will Hunting,1997,2h 6m,R,8.3, (1.2M)
77,Toy Story,1995,1h 21m,G,8.3, (1.1M)
78,Oldboy,2003,2h,R,8.3, (694K)
79,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,PG,8.3, (543K)
80,Das Boot,1981,2h 29m,,8.4, (282K)
81,Braveheart,1995,2h 58m,R,8.3, (1.1M)
82,Your Name.,2016,1h 46m,,8.4, (370K)
83,Princess Mononoke,1997,2h 13m,PG-13,8.3, (469K)
84,American Beauty,1999,2h 2m,R,8.3, (1.3M)
85,3 Idiots,2009,2h 50m,PG-13,8.4, (468K)
86,Joker,2019,2h 2m,R,8.3, (1.6M)
87,Capernaum,2018,2h 6m,R,8.4, (119K)
88,Once Upon a Time in America,1984,3h 49m,R,8.3, (400K)
89,Singin' in the Rain,1952,1h 43m,G,8.3, (276K)
90,Requiem for a Dream,2000,1h 42m,NC-17,8.3, (952K)
91,Come and See,1985,2h 22m,Not Rated,8.3, (116K)
92,Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,PG,8.3, (1.2M)
93,Toy Story 3,2010,1h 43m,G,8.3, (945K)
94,The Hunt,2012,1h 55m,R,8.3, (396K)
95,Ikiru,1952,2h 23m,Not Rated,8.3, (99K)
96,Eternal Sunshine of the Spotless Mind,2004,1h 48m,R,8.3, (1.2M)
97,Incendies,2010,2h 11m,R,8.3, (237K)
98,The Apartment,1960,2h 5m,Approved,8.3, (213K)
99,Lawrence of Arabia,1962,3h 47m,PG,8.3, (334K)
100,2001: A Space Odyssey,1968,2h 29m,G,8.3, (764K)
101,Reservoir Dogs,1992,1h 39m,R,8.3, (1.1M)
102,Scarface,1983,2h 50m,R,8.3, (985K)
103,Heat,1995,2h 50m,R,8.3, (774K)
104,Double Indemnity,1944,1h 47m,Approved,8.3, (177K)
105,North by Northwest,1959,2h 16m,Approved,8.3, (364K)
106,Up,2009,1h 36m,PG,8.3, (1.2M)
107,M,1931,1h 39m,Passed,8.3, (179K)
108,Citizen Kane,1941,1h 59m,PG,8.2, (486K)
109,Full Metal Jacket,1987,1h 56m,R,8.2, (833K)
110,Vertigo,1958,2h 8m,PG,8.2, (451K)
111,Amélie,2001,2h 2m,R,8.3, (826K)
112,Like Stars on Earth,2007,2h 42m,PG,8.3, (225K)
113,A Separation,2011,2h 3m,PG-13,8.3, (273K)
114,To Kill a Mockingbird,1962,2h 9m,Approved,8.3, (346K)
115,Die Hard,1988,2h 12m,R,8.2, (1M)
116,The Sting,1973,2h 9m,PG,8.2, (294K)
117,Indiana Jones and the Last Crusade,1989,2h 7m,PG-13,8.2, (848K)
118,A Clockwork Orange,1971,2h 16m,R,8.2, (921K)
119,Metropolis,1927,2h 33m,Not Rated,8.3, (197K)
120,Snatch,2000,1h 42m,R,8.2, (957K)
121,1917,2019,1h 59m,R,8.2, (744K)
122,Oppenheimer,2023,3h,R,8.3, (939K)
123,L.A. Confidential,1997,2h 18m,R,8.2, (648K)
124,Downfall,2004,2h 36m,R,8.2, (393K)
125,Bicycle Thieves,1948,1h 29m,Not Rated,8.2, (188K)
126,Dangal,2016,2h 41m,Not Rated,8.3, (232K)
127,The Wolf of Wall Street,2013,3h,R,8.2, (1.7M)
128,Green Book,2018,2h 10m,PG-13,8.2, (654K)
129,The Truman Show,1998,1h 43m,PG,8.2, (1.3M)
130,Hamilton,2020,2h 40m,PG-13,8.3, (133K)
131,Taxi Driver,1976,1h 54m,R,8.2, (996K)
132,Batman Begins,2005,2h 20m,PG-13,8.2, (1.7M)
133,The Chaos Class Failed the Class,1975,1h 35m,,8.6, (28K)
134,For a Few Dollars More,1965,2h 12m,R,8.2, (293K)
135,Judgment at Nuremberg,1961,2h 59m,Approved,8.3, (94K)
136,Shutter Island,2010,2h 18m,R,8.2, (1.6M)
137,Some Like It Hot,1959,2h 1m,Approved,8.2, (299K)
138,Jurassic Park,1993,2h 7m,PG-13,8.2, (1.1M)
139,The Kid,1921,1h 8m,Passed,8.2, (143K)
140,The Father,2020,1h 37m,PG-13,8.2, (219K)
141,There Will Be Blood,2007,2h 38m,R,8.2, (683K)
142,All About Eve,1950,2h 18m,Approved,8.2, (147K)
143,The Sixth Sense,1999,1h 47m,PG-13,8.2, (1.1M)
144,Ran,1985,2h 40m,R,8.2, (147K)
145,Casino,1995,2h 58m,R,8.2, (602K)
146,Top Gun: Maverick,2022,2h 10m,PG-13,8.2, (804K)
147,No Country for Old Men,2007,2h 2m,R,8.2, (1.1M)
148,The Thing,1982,1h 49m,R,8.2, (508K)
149,Unforgiven,1992,2h 10m,R,8.2, (460K)
150,Pan's Labyrinth,2006,1h 58m,R,8.2, (732K)
151,Kill Bill: Vol. 1,2003,1h 51m,R,8.2, (1.3M)
152,A Beautiful Mind,2001,2h 15m,PG-13,8.2, (1M)
153,Prisoners,2013,2h 33m,R,8.2, (895K)
154,The Treasure of the Sierra Madre,1948,2h 6m,Approved,8.2, (139K)
155,Finding Nemo,2003,1h 40m,G,8.2, (1.2M)
156,Howl's Moving Castle,2004,1h 59m,PG,8.2, (494K)
157,Yojimbo,1961,1h 50m,Not Rated,8.2, (140K)
158,The Best of Youth,2003,6h 14m,R,8.4, (26K)
159,The Great Escape,1963,2h 52m,Approved,8.2, (272K)
160,Monty Python and the Holy Grail,1975,1h 31m,PG,8.2, (594K)
161,The Elephant Man,1980,2h 4m,PG,8.2, (276K)
162,Klaus,2019,1h 36m,PG,8.2, (220K)
163,Dial M for Murder,1954,1h 45m,PG,8.2, (201K)
164,Gone with the Wind,1939,3h 58m,G,8.2, (350K)
165,The Secret in Their Eyes,2009,2h 9m,R,8.2, (237K)
166,Chinatown,1974,2h 10m,R,8.1, (370K)
167,"Lock, Stock and Two Smoking Barrels",1998,1h 47m,R,8.1, (641K)
168,V for Vendetta,2005,2h 12m,R,8.1, (1.2M)
169,Rashomon,1950,1h 28m,Not Rated,8.1, (192K)
170,Inside Out,2015,1h 35m,PG,8.1, (885K)
171,"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,R,8.1, (591K)
172,Catch Me If You Can,2002,2h 21m,PG-13,8.1, (1.2M)
173,Trainspotting,1996,1h 33m,R,8.1, (757K)
174,The Bridge on the River Kwai,1957,2h 41m,PG,8.1, (245K)
175,Raging Bull,1980,2h 9m,R,8.1, (401K)
176,Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,PG-13,8.1, (1M)
177,Fargo,1996,1h 38m,R,8.1, (766K)
178,The Wild Robot,2024,1h 42m,PG,8.2, (197K)
179,Warrior,2011,2h 20m,PG-13,8.1, (520K)
180,Dead Poets Society,1989,2h 8m,PG,8.1, (612K)
181,Million Dollar Baby,2004,2h 12m,PG-13,8.1, (754K)
182,Ben-Hur,1959,3h 32m,G,8.1, (266K)
183,Gran Torino,2008,1h 56m,R,8.1, (848K)
184,Mad Max: Fury Road,2015,2h,R,8.1, (1.2M)
185,Barry Lyndon,1975,3h 5m,PG,8.1, (198K)
186,My Neighbor Totoro,1988,1h 26m,G,8.1, (417K)
187,Children of Heaven,1997,1h 29m,PG,8.2, (88K)
188,Hacksaw Ridge,2016,2h 19m,R,8.1, (653K)
189,The Grand Budapest Hotel,2014,1h 39m,R,8.1, (941K)
190,12 Years a Slave,2013,2h 14m,R,8.1, (772K)
191,Before Sunrise,1995,1h 41m,R,8.1, (366K)
192,Spider-Man: No Way Home,2021,2h 28m,PG-13,8.2, (978K)
193,Blade Runner,1982,1h 57m,R,8.1, (864K)
194,Memories of Murder,2003,2h 12m,Not Rated,8.1, (251K)
195,Ratatouille,2007,1h 51m,G,8.1, (907K)
196,Gone Girl,2014,2h 29m,R,8.1, (1.1M)
197,How to Train Your Dragon,2010,1h 38m,PG,8.1, (867K)
198,"Monsters, Inc.",2001,1h 32m,G,8.1, (1M)
199,Jaws,1975,2h 4m,PG,8.1, (717K)
200,In the Name of the Father,1993,2h 13m,R,8.1, (199K)
201,Wild Tales,2014,2h 2m,R,8.1, (232K)
202,The Gold Rush,1925,1h 35m,Approved,8.1, (126K)
203,Ford v Ferrari,2019,2h 32m,PG-13,8.1, (543K)
204,Sherlock Jr.,1924,45m,Passed,8.1, (64K)
205,Demon Slayer: Kimetsu no Yaiba- The Movie - Infinity Castle,2025,2h 35m,R,8.6, (32K)
206,Mary and Max,2009,1h 32m,Not Rated,8.1, (199K)
207,The Deer Hunter,1978,3h 3m,R,8.1, (380K)
208,The General,1926,1h 18m,Passed,8.1, (104K)
209,The Wages of Fear,1953,2h 36m,Not Rated,8.1, (72K)
210,Mr. Smith Goes to Washington,1939,2h 9m,Approved,8.1, (127K)
211,Logan,2017,2h 17m,R,8.1, (904K)
212,On the Waterfront,1954,1h 48m,Approved,8.1, (175K)
213,Rocky,1976,2h,PG,8.1, (671K)
214,Wild Strawberries,1957,1h 32m,Not Rated,8.1, (122K)
215,Tokyo Story,1953,2h 17m,Not Rated,8.1, (76K)
216,The Third Man,1949,1h 44m,Approved,8.1, (192K)
217,Spotlight,2015,2h 9m,R,8.1, (525K)
218,Maharaja,2024,2h 21m,,8.4, (74K)
219,Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,PG-13,8.1, (1.3M)
220,The Terminator,1984,1h 47m,R,8.1, (978K)
221,La haine,1995,1h 38m,Not Rated,8.1, (217K)
222,The Big Lebowski,1998,1h 57m,R,8.1, (900K)
223,Jai Bhim,2021,2h 44m,Approved,8.6, (229K)
224,The Seventh Seal,1957,1h 36m,Not Rated,8.1, (212K)
225,Room,2015,1h 58m,R,8.1, (473K)
226,Hotel Rwanda,2004,2h 1m,PG-13,8.1, (387K)
227,Platoon,1986,2h,R,8.1, (462K)
228,The Best Years of Our Lives,1946,2h 50m,Approved,8.1, (76K)
229,Before Sunset,2004,1h 20m,R,8.1, (307K)
230,The Sound of Music,1965,2h 54m,G,8.1, (282K)
231,The Exorcist,1973,2h 2m,R,8.1, (485K)
232,The Incredibles,2004,1h 55m,PG,8.0, (873K)
233,Hachi: A Dog's Tale,2009,1h 33m,G,8.1, (334K)
234,Rush,2013,2h 3m,R,8.1, (545K)
235,A Silent Voice: The Movie,2016,2h 10m,Not Rated,8.2, (128K)
236,The Wizard of Oz,1939,1h 42m,G,8.1, (456K)
237,The Passion of Joan of Arc,1928,1h 54m,Passed,8.1, (66K)
238,Stand by Me,1986,1h 29m,R,8.1, (472K)
239,The Iron Giant,1999,1h 26m,PG,8.1, (251K)
240,My Father and My Son,2005,1h 52m,Not Rated,8.2, (99K)
241,The Handmaiden,2016,2h 25m,Not Rated,8.1, (194K)
242,Network,1976,2h 1m,R,8.1, (182K)
243,The Battle of Algiers,1966,2h 1m,Not Rated,8.1, (73K)
244,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,1h 57m,R,8.2, (91K)
245,The Grapes of Wrath,1940,2h 9m,Approved,8.1, (106K)
246,To Be or Not to Be,1942,1h 39m,Approved,8.1, (48K)
247,Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,2021,1h 27m,,8.5, (34K)
248,Gangs of Wasseypur,2012,5h 21m,Not Rated,8.2, (110K)
249,Into the Wild,2007,2h 28m,R,8.0, (686K)
250,The Help,2011,2h 26m,PG-13,8.1, (519K)
